Company Name,Address,City,Website,Focus Area
Amber Bio,,San Francisco,amber.bio,Gene editing platform (RNA-based)
Amgen (Bay Area),,South San Francisco,amgen.com,Biologics & small-molecule drugs
AmMax Bio,,Redwood City,ammaxbio.com,Anti-CSF1 monoclonal antibody
AmplifiDx,,Newark,amplifidx.com,Molecular diagnostics (point-of-care)
Amprion,,San Francisco,ampriondx.com,Brain health diagnostics (prions)
Amygdala Neurosciences,,Los Altos,amygns.com,Addiction therapies (small-molecule)
AN2 Therapeutics,,Menlo Park,an2therapeutics.com,Infectious disease therapeutics
Ananya Health,,Oakland,ananya.health,Cryoablation therapy (cervical cancer)
AnaSpec,,Fremont,anaspec.com,Peptides & antibodies reagents
Anchor Molecular,,Pleasanton,anchormolecular.com,Quality controls & reference materials
AnchorDx,,Fremont,anchordx.com,Next-gen sequencing (oncology)
Ancora Bio,,Palo Alto,ancorabiotech.com,Multi-specific antibodies
Ancora Heart,,Santa Clara,ancoraheart.com,Device for mitral valve repair
Andromeda Surgical,,South San Francisco,andromedasurgical.com,Surgical robotics
Angarus Therapeutics,,South San Francisco,angarustx.com,Oncology (immunosuppression-targeted)
Anixa Biosciences,,San Jose,anixa.com,Cancer diagnostics & CAR-T
Annexon Biosciences,,Brisbane,annexonbio.com,Neurodegenerative & autoimmune drugs
Ansa Biotechnologies,,Emeryville,ansabio.com,Next-gen DNA synthesis
Antares Therapeutics,,South San Francisco,antaresrx.com,Small-molecule drug technologies
Antheia,,Menlo Park,antheia.bio,Yeast fermentation–based API production
Antibodies Incorporated,,Davis,antibodiesinc.com,Custom antibodies & assay services
Antibody Solutions,,Santa Clara,antibody.com,Antibody discovery services
Antiva Biosciences,,Redwood City,antivabio.com,Antiviral therapeutics (HPV)
Anwita Biosciences,,San Carlos,anwitabio.com,Antibodies & fusion proteins
Apellis Pharmaceuticals,,San Francisco,apellis.com,Cyclic peptide therapeutics
Apertor Pharmaceuticals,,Alameda,apertorpharma.com,Molecular glue oncology drugs
Apeximmune,,Burlingame,apeximmune.com,Immuno-oncology mAbs
Apollomics,,Foster City,apollomicsinc.com,Cancer medicines (multi-target)
Apostle Inc.,,Pleasanton,apostlebio.com,Cancer diagnostics (liquid biopsy)
Applied Biomics,,Hayward,appliedbiomics.com,Proteomics services
Applied Cells,,Santa Clara,appliedcells.com,Cell separation technology
Applied StemCell,,Milpitas,appliedstemcell.com,Cell lines & gene editing tools
Applied Viromics,,Fremont,appliedviromics.com,Custom viral vectors
Apreo Health,,Menlo Park,apreohealth.com,Lung disease therapy
APstem Therapeutics,,Fremont,apstemtx.com,Stem cell therapies
Aptah Bio,,San Carlos,aptah-bio.com,RNA integrity therapeutics
Aqtual,,Hayward,aqtual.com,Cell-free DNA diagnostics
Aqua Medical,,Pleasanton,aquaendoscopy.com,Endoscopic ablation therapy
Aquedeon Medical,,Sunnyvale,aquedeonmedical.com,Vascular graft system
Aragen Life Sciences,,Morgan Hill,aragen.com,Biologics CRO (cell line, assays)
Aralez Bio,,Berkeley,aralezbio.com,Noncanonical amino acid tech
Arbor Vita,,Fremont,arborvita.com,Diagnostics (oncology)
Arcus Biosciences,,Hayward,arcusbio.com,Cancer immunotherapies
Arda Therapeutics,,San Carlos,ardatx.com,Pathogenic cell depletion (ADC)
Ardelyx,,Fremont,ardelyx.com,Gastrointestinal therapeutics
Aridis Pharmaceuticals,,Los Gatos,aridispharma.com,Monoclonal antibodies (infectious diseases)
ARIZ Precision Medicine,,Davis,arizbio.com,Small-molecule therapeutics
Ark Diagnostics,,Fremont,ark-tdm.com,Clinical assays (therapeutic drug monitoring)
Arsenal Biosciences,,South San Francisco,arsenalbio.com,Cancer cell therapies (CAR-T)
Artera,,Los Altos,artera.ai,AI diagnostics (radiology)
Artery Therapeutics,,San Ramon,arterytx.com,Peptide therapies (cardiology)
Artificial,,Palo Alto,artificial.com,AI lab automation platform
Ascendis Pharma,,Palo Alto,ascendispharma.com,Prodrug therapies
Asegua Therapeutics,,Foster City,asegua.com,Authorized generics (Gilead)
Asher Biotherapeutics,,South San Francisco,asherbio.com,IL-2 immunotherapies
ASI Bio (ashibio),,Burlingame,ashibio.com,Bone/connective disorder therapies
Ashvattha Therapeutics,,Redwood City,avttx.com,Nanomedicine delivery
Asieris Pharmaceuticals,,Palo Alto,asieris.com,Small-molecule & combo products
Aspa Therapeutics,,Palo Alto,aspatx.com,Gene therapy (Canavan disease)
Assay Biotechnology,,San Jose,assaybiotechnology.com,Antibodies & ELISA kits
Assembly Biosciences,,South San Francisco,assemblybio.com,Antiviral small molecules (HBV)
Astraea Therapeutics,,Mountain View,astraeatherapeutics.com,Small-molecule antivirals
AstraZeneca (Bay Area),,South San Francisco,astrazeneca.com,Biologics & vaccines R&D
atHeart Medical,,Santa Clara,atheartmedical.com,Atrial septal defect device
Athelas,,Mountain View,athelas.com,Point-of-care immune monitoring
Atia Vision,,Campbell,atiavision.com,Presbyopia-correcting intraocular lens
Atila Biosystems,,Sunnyvale,atilabiosystems.com,Nucleic acid amplification chemistry
Atomic AI,,South San Francisco,atomic.ai,AI-driven RNA drug discovery
Atonarp,,Pleasanton,atonarp.com,Mass spec molecular analysis
AtriCure,,Pleasanton,atricure.com,Cardiovascular surgical devices
Atropos Therapeutics,,San Carlos,atroposthera.com,Senescence-targeting small molecules
Attovia Therapeutics,,San Carlos,attovia.com,Biparatopic nanobody platform
Attune Neurosciences,,San Francisco,attuneneuro.com,Non-invasive neurostimulation
ATUM (DNA2.0),,Newark,atum.bio,Gene synthesis & protein engineering
Auctus Surgical,,Danville,auctussurgical.com,Scoliosis tethering system
Augmenta Bioworks,,Menlo Park,augbio.com,Antibody discovery services
Aulos Bioscience,,Larkspur,aulosbio.com,IL-2 monoclonal antibodies
Auransa,,Palo Alto,auransa.com,AI-driven drug discovery (oncology)
Aurora Microplates,,San Jose,auroramicroplates.com,Microplate lab plastics
AusperBio,,San Mateo,ausperbio.com,Antiviral therapeutics (ASO)
Austral Biologicals,,San Ramon,australbiologicals.com,Research products & services
Avails Medical,,Menlo Park,availsmedical.com,Rapid infection diagnostics
Avantec Vascular,,Sunnyvale,avantecvascular.com,Peripheral vascular devices
Avellino Labs,,Menlo Park,avellino.ai,Gene therapy & diagnostics (ophthalmology)
Avenue Biosciences,,Palo Alto,avenuebiosciences.com,Protein engineering CRO
Averto Medical,,Fremont,avertomed.com,Ostomy avoidance device
Avinger,,Redwood City,lumivascular.us,Arterial surgical devices (PAD)
Avirmax,,Hayward,avirmax.com,rAAV gene therapy technology
Avisi Technologies,,Redwood City,avisitech.com,Glaucoma implant (nanotech)
Avive Solutions,,Brisbane,avive.life,Automated external defibrillator
Avvio Medical,,San Francisco,avviomedical.com,Kidney stone treatment device
