Company Name,Website,City,Address,Company Stage,Focus Areas,Validation_Source
ASI Bio (ashibio),https://ashibio.com,Burlingame,"1633 Old Bayshore Hwy #280, Burlingame, CA 94010, USA",Pre-clinical/Startup,Bone/connective disorder therapies,Existing
ATUM,https://www.atum.bio,Newark,"37950 Central Court, Newark, CA 94560",Tools/Services/CDMO,"Gene & protein design/synthesis; enzyme engineering.
Core protein engineering & expression & purification workflows.",Existing
ATUM (DNA2.0),https://atum.bio,Newark,"37950 Central Ct, Newark, CA 94560, USA",Tools/Services/CDMO,Gene synthesis & protein engineering,Existing
Aarvik Therapeutics,https://aarviktx.com,Hayward,"31363 Medallion Drive, Hayward, CA 94544",Pre-clinical/Startup,Antibody-drug conjugates,Existing
Aayam Therapeutics,https://aayamtx.com,San Jose,"5943 Sterling Oaks Drive, San Jose, CA 95120",Pre-clinical/Startup,505(b)(2) drug repurposing,Existing
Ab Studio,https://antibodystudio.com,Hayward,"3541 Investment Blvd, Suite 3, Hayward, CA 94545",Tools/Services/CDMO,Service provider specializing in humanization of antibodies to reduce immunogenicity for therapeutic development.,Existing
AbTherx,https://abtherx.com,Mountain View,"319 N. Bernardo Avenue, Mountain View, CA 94043",Pre-clinical/Startup,Therapeutic antibody discovery,Existing
Abalone Bio,https://www.abalonebio.com,Emeryville,"1250 45th St, Suite 520, Emeryville, CA 94608",Pre-clinical/Startup,Function-activating antibodies for GPCRs. FAST platform enables parallel screening powered by AI-guided design.,Existing
AbbVie,https://www.abbvie.com,South San Francisco,"1000 Gateway Boulevard, South San Francisco, CA 94080",Large Pharma,"Large pharma with significant biologics pipeline (oncology, immunology). Protein sciences and engineering roles.",Existing
AbboMax,https://abbomax.com,San Jose,"2528 Qume Drive, Suite 8, San Jose, CA 95131",Tools/Services/CDMO,Antibody peptide & assay products,Existing
Abbott (Bay Area),https://abbott.com,Alameda,"1360 South Loop Road, Alameda, CA 94502",Large Pharma,Diabetes care products,Existing
Abcam,https://abcam.com,Fremont,"860 Auburn Ct, Fremont, CA 94538, USA",Commercial-Stage Biotech,Antibodies & reagents,Existing
Abiosciences,https://abiosciences.com,South San Francisco,"280 Utah Avenue, Suite 110, South San Francisco, CA 94080",Pre-clinical/Startup,Single-cell sequencing & AI design,Existing
Abram Scientific,https://abramscientific.com,South San Francisco,"400 Oyster Point Blvd, Suite 110, South San Francisco, CA 94080",Tools/Services/CDMO,Hemostasis diagnostic devices,Existing
Accelero Biostructures,https://accelerobio.com,San Francisco,"156 2ND ST, San Francisco, CA, 94105",Tools/Services/CDMO,High-throughput X-ray crystallography and cryo-EM services for structure-based drug discovery. Direct skill alignment.,Existing
AccuraGen,https://accuragen.com,San Jose,"2720 Zanker Rd, Suite 100, San Jose, CA 95134",Pre-clinical/Startup,Liquid biopsy (cancer),Existing
Accuray,https://accuray.com,Sunnyvale,"1310 Chesapeake Terrace, Sunnyvale, CA 94089",Commercial-Stage Biotech,Targeted radiation therapy,Existing
Accurus Biosciences,https://accurusbio.com,Richmond,"2600 Hilltop Drive, Building B, Suite C337, Richmond, CA 94806",Tools/Services/CDMO,Cellular & antibody services,Existing
Accuryn Medical,https://accuryn.com,Hayward,"26142 Eden Landing Road, Hayward, CA 94545",Commercial-Stage Biotech,Patient monitoring devices,Existing
AceLink Therapeutics,https://acelinktherapeutics.com,Newark,"39600 Eureka Drive, Suite 151, Newark, CA 94560",Pre-clinical/Startup,Rare disease drug development,Existing
Acelot,https://acelot.com,South San Francisco,"329 Oyster Point Boulevard, South San Francisco, CA 94080",Pre-clinical/Startup,Neurodegenerative disease therapies,Existing
Acepix Biosciences,https://acepixbio.com,Union City,"32990 Alvarado-Niles Road, Suite 910, Union City, CA 94587",Pre-clinical/Startup,Cell-based pathology products,Existing
Acepodia,https://www.acepodia.com,Alameda,"1600 Harbor Bay Pkwy, Suite 140, Alameda, CA 94502",Clinical-Stage Biotech,Off-the-shelf cell therapies using proprietary biorthogonal chemistry (ACC™) to link antibodies to immune cells.,Existing
Achelois BioPharma,https://achelois.bio,Redwood City,"3698 Haven Ave., Suite A, Redwood City, CA 94063",Pre-clinical/Startup,Antiviral (molecular velcro),Existing
Achira,https://achira.ai,San Francisco,"66b, 13th Cross Rd, Dollar Layout, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",Pre-clinical/Startup,Atomistic simulation drug discovery,Existing
Acme Bioscience,https://acmeca.com,Palo Alto,"3941 E Bayshore Road, Palo Alto, CA 94303",Tools/Services/CDMO,Medicinal chemistry services,Existing
Acrigen Biosciences,https://www.acrigen.com,Berkeley,"626 Bancroft Way, Berkeley, CA 94702",Pre-clinical/Startup,"Advanced CRISPR platform combining engineered nucleases (αCas, μCas) with anti-CRISPR proteins for specificity.",Existing
Acrobat Genomics,https://acrobatgenomics.com,San Carlos,"930 Brittan Avenue, San Carlos, CA 94070",Pre-clinical/Startup,"Platform utilizing CRISPR technology to identify and validate novel drug targets, with focus on systematic target discovery approaches.",Existing
Actym Therapeutics,https://www.actym.com,San Francisco,"717 Market St, San Francisco, CA 94103",Pre-clinical/Startup,Microbial-based Immunotherapy Platform,Existing
AcureX Biosciences,https://www.acurex.com,San Carlos,"930 Brittan Avenue, San Carlos, CA 94070",Pre-clinical/Startup,Therapeutics targeting mitochondrial dysfunction in neurodegenerative diseases.,Existing
AcureX Therapeutics,https://acurex.com,San Carlos,"930 Brittan Avenue, San Carlos, CA 94070",Pre-clinical/Startup,Neurodegenerative disease treatments,Existing
Adanate,https://www.adanate.com,Alameda,"1010 Atlantic Avenue, Suite 102, Alameda, CA 94501",Clinical-Stage Biotech,Antibody Therapeutics for Immuno-oncology,Existing
Adaptyx Biosciences,https://adaptyx.bio,Menlo Park,"1202 Fernside Street, Redwood City, CA 94061",Pre-clinical/Startup,Biosensor technology,Existing
Adari Cell Science,https://adaricell.com,Oakland,"5 Ascot Ct, Oakland, CA 94611",Tools/Services/CDMO,Cell-based assays,Existing
Addition Therapeutics,https://www.additiontx.com,Berkeley,"2630 Bancroft Way, Berkeley, CA 94704",Pre-clinical/Startup,RNA-only therapeutics using PRINT™ technology for precise transgene insertion without CRISPR machinery.,Existing
Adicet Bio,https://adicetbio.com,Redwood City,"1000 Bridge Parkway, Redwood City, CA 94065",Clinical-Stage Biotech,Immunotherapies (CAR gamma-delta T cells),Existing
Adona Medical,https://adonamed.com,Los Gatos,"180 Knowles Drive, Los Gatos, CA 95032",Pre-clinical/Startup,Heart failure device,Existing
Advanced Bifurcation Systems,https://advancedbifurcation.com,Livermore,"7419 Southfront Rd., Livermore, CA 94551",Pre-clinical/Startup,Bifurcating stent device,Existing
Advanced Biofuels and Bioproducts Process Development Unit,https://abpdu.lbl.gov,Emeryville,"5885 Hollis St, Emeryville, CA 94608",Academic/Gov't,"Scale-up/process;
fermentation and downstream",Existing
Advanced Cell Diagnostics,https://acdbio.com,Newark,"7707 Gateway Blvd., Newark, CA 94560",Tools/Services/CDMO,RNA in situ detection,Existing
Advanced Light Source,https://als.lbl.gov,Berkeley,"1 Cyclotron Rd, Berkeley, CA 94720",Academic/Gov't,"Synchrotron for Structural Biology.
Synchrotron for structural biology/imaging",Existing
Advanced Microbubbles,https://advancedmicrobubbles.com,Newark,"39655 Eureka Dr, Newark, CA 94560, USA",Pre-clinical/Startup,Ultrasound-triggered microbubbles,Existing
Advanced NanoTherapies,https://advancednanotherapies.com,Santa Clara,"2903 Bunker Hill Ln, Santa Clara, CA 95054",Pre-clinical/Startup,Nanoparticle drug delivery,Existing
Advanced Process Systems,https://advancedprosystems.com,Orinda,"6920 Koll Center Pkwy #223, Pleasanton, CA 94566, USA",Tools/Services/CDMO,Analytical instrument calibration,Existing
Advansta,https://advansta.com,San Jose,"2140 Bering Dr, San Jose, CA 95131",Tools/Services/CDMO,Protein characterization products,Existing
Adventris Pharmaceuticals,https://adventris.com,San Francisco,"655 3rd St, San Francisco, CA 94107",Pre-clinical/Startup,Cancer immunotherapy (vaccines),Existing
Adverum Biotechnologies,https://adverum.com,Redwood City,"100 Cardinal Way, Redwood City, CA 94063",Clinical-Stage Biotech,AAV gene therapies,Existing
Aelan Cell Technologies,https://aelanct.com,San Francisco,"665 3rd St Ste 280, San Francisco, CA 94107",Pre-clinical/Startup,Stem cell technology,Existing
Aeovian Pharmaceuticals,https://aeovian.com,Berkeley,"2930 Domingo Ave Ste 145, Berkeley, CA 94705",Pre-clinical/Startup,Small-molecule therapeutics,Existing
Aequita Bioworks,https://aequitabioworks.com,San Carlos,"1068 Washington St Suite B, San Carlos, CA 94070",Pre-clinical/Startup,Muscle loss antibody therapies,Existing
Aerin Medical,https://aerinmedical.com,Mountain View,"2565 Leghorn St, Mountain View, CA 94043",Pre-clinical/Startup,Nasal obstruction device,Existing
Aether Biomachines,https://aetherbio.com,Menlo Park,"1455 Adams Dr, Suite 1630, Menlo Park, CA 94025",Pre-clinical/Startup,Automating enzyme engineering processes through high-throughput approaches to develop novel enzymes for industrial biotechnology applications.,Existing
AfaSci,https://afasci.com,Redwood City,"522 Second Avenue, Redwood City, CA 94063",Pre-clinical/Startup,Small-molecule CNS drugs,Existing
Agilent,https://www.agilent.com/,Santa Clara,"5301 Stevens Creek Blvd, Santa Clara, CA 95051, USA",Tools/Services/CDMO,"High-Throughput Screening Equipment, Imaging instruments",Existing
Agilent Technologies (Bio Division),https://agilent.com,Santa Clara,"5301 Stevens Creek Blvd, Santa Clara, CA 95051",Commercial-Stage Biotech,Lab instruments & screening,Existing
Aikium,https://aikium.com,Berkeley,"2630 Bancroft Way, Berkeley, CA 94704",Pre-clinical/Startup,AI-driven drug discovery,Existing
Aizon,https://aizon.ai,San Francisco,"44 Montgomery St, 3rd floor, San Francisco, CA 94104",Pre-clinical/Startup,AI for pharma manufacturing,Existing
Akero Therapeutics,https://akerotx.com,South San Francisco,"601 Gateway Boulevard, Suite 350, South San Francisco, CA 94080",Clinical-Stage Biotech,NASH therapy,Existing
Akura Medical,https://akuramedical.com,Los Gatos,"170 Knowles Drive, Los Gatos, CA 95032",Pre-clinical/Startup,Thrombectomy device (clot removal),Existing
Alamar Biosciences,https://alamarbio.com,Fremont,"47071 Bayside Pkwy, Fremont, CA 94538",Pre-clinical/Startup,Proteomic liquid biopsy,Existing
Alector,https://alector.com,South San Francisco,"131 Oyster Point Blvd, Suite 600, South San Francisco, CA 94080",Clinical-Stage Biotech,Antibody and protein-based therapeutics for neurodegeneration and immuno-neurology.,Existing
Alessa Therapeutics,https://alessatherapeutics.com,San Carlos,"930 Brittan Ave, San Carlos, CA 94070",Pre-clinical/Startup,Targeted localized cancer therapy,Existing
Algen Biotechnologies,https://algenbio.com,San Francisco,"665 3rd Street, Suite 280, San Francisco, CA 94107",Pre-clinical/Startup,Gene network drug discovery,Existing
Alife,https://alifehealth.com,San Francisco,"3717 Buchanan St, Suite 400, San Francisco, CA 94123",Pre-clinical/Startup,AI-powered IVF solutions,Existing
Aligos Therapeutics,https://aligos.com,South San Francisco,"1 Corporate Drive, 2nd floor, South San Francisco, CA 94080",Clinical-Stage Biotech,Treatments for liver & viral diseases,Existing
AliveCor,https://kardia.com,Mountain View,"189 Bernardo Ave., Suite 100, Mountain View, CA 94043",Commercial-Stage Biotech,Mobile heart monitoring (ECG),Existing
Alixia,https://alixia.com,San Francisco,"953 Indiana Street, San Francisco, CA 94107",Pre-clinical/Startup,Tumor immunotherapies,Existing
Alkahest,https://alkahest.com,San Carlos,"125 Shoreway Road, Suite D, San Carlos, CA 94070",Clinical-Stage Biotech,Anti-aging therapies (blood components),Existing
AllCells,https://www.allcells.com,Alameda,"1301 Harbor Bay Pkwy, Suite 200, Alameda, CA 94502",Tools/Services/CDMO,"Human primary cells for CGT.
Supports cell therapy R&D; GMP-adjacent lab operations.",Existing
Allay Therapeutics,https://allaytx.com,Menlo Park,"4040 Campbell Ave, Suite 110, Menlo Park, CA 94025",Pre-clinical/Startup,Localized pain management therapy,Existing
Allelica,https://allelica.com,San Francisco,"415 Mission St, San Francisco, CA 94105",Pre-clinical/Startup,Polygenic risk scoring,Existing
Allogene Therapeutics,https://www.allogene.com,South San Francisco,"210 East Grand Avenue, South San Francisco, CA 94080",Clinical-Stage Biotech,Allogeneic CAR T (AlloCAR T™) therapies. Protein engineering of CAR constructs is critical.,Existing
Alnylam Pharmaceuticals Bay Area,https://www.alnylam.com,South San Francisco,,,RNA therapeutics,BPG
Alphalyse,https://alphalyse.com,Palo Alto,"299 California Ave, Suite 200, Palo Alto, CA 94306",Tools/Services/CDMO,Protein analysis services,Existing
Alstem,https://alstembio.com,Richmond,"2600 Hilltop Dr Bldg B Ste C328, Richmond, CA 94806",Tools/Services/CDMO,iPSC cell lines & cytokines,Existing
Altay Therapeutics,https://www.altaytherapeutics.com,San Bruno,"113 Piccadilly Pl # A, San Bruno, CA 94066",Pre-clinical/Startup,Small molecule therapies targeting transcription factors for inflammation and cancer. Structure-based design focus.,Existing
AlterG,https://alterg.com,Fremont,"48368 Milmont Dr, Fremont, CA 94538",Commercial-Stage Biotech,Anti-gravity treadmill (rehab),Existing
AltiBio,https://altibio.bio,Half Moon Bay,"80 Cabrillo Hwy N Suite Q507, Half Moon Bay, CA 94019",Pre-clinical/Startup,Pharmaceutical R&D,Existing
Alto Neuroscience,https://altoneuroscience.com,Mountain View,"650 Castro Street, Suite 450, Mountain View, CA 94041",Pre-clinical/Startup,AI-driven neuro biomarkers,Existing
Altos Labs,https://altoslabs.com,Redwood City,"2600 Bridge Parkway, Redwood City, CA 94065",Pre-clinical/Startup,Cellular rejuvenation (aging),Existing
AltruBio,https://altrubio.com,San Francisco,"505 Montgomery Street, 11th Floor, San Francisco, CA 94111",Pre-clinical/Startup,Antibody therapeutics (immunology),Existing
Altus Life Science,https://altuslifescience.com,San Jose,"401 Keyes St, San Jose, CA 95112",Pre-clinical/Startup,Diagnostics & genetic testing,Existing
Aluda Pharmaceuticals,https://aludapharm.com,Menlo Park,"1080 Marsh Road, Suite 200, Menlo Park, CA 94025",Pre-clinical/Startup,Small-molecule drug discovery,Existing
Alumis,https://www.alumis.com,South San Francisco,"280 E Grand Ave, South San Francisco, CA 94080",Clinical-Stage Biotech,Oral small molecule therapies for immune-mediated diseases (TYK2 inhibitors).,Existing
Aluna,https://alunacare.com,San Francisco,"345 California Street, Suite 700, San Francisco, CA 94104",Pre-clinical/Startup,Digital asthma monitoring,Existing
Alveo Technologies,https://alveotechnologies.com,Alameda,"1000 Atlantic Ave, Suite 114, Alameda, CA 94501",Commercial-Stage Biotech,Diagnostic devices (infectious diseases),Existing
AmMax Bio,https://www.ammaxbio.com,Redwood City,"333 Twin Dolphin Drive, Suite 370, Redwood City, CA 94065",Clinical-Stage Biotech,Antibody-based oncology pipeline targeting CSF1R (mAbs and ADCs).,Existing
Amador Bioscience,https://amadorbioscience.com,Pleasanton,"4695 Chabot Dr, Suite 200-265, Pleasanton, CA 94588",Tools/Services/CDMO,Consulting & CRO (clinical trials),Existing
Amaros,https://amaros.ai,Menlo Park,"801 Hermosa Way, Menlo Park, CA 94025",Pre-clinical/Startup,AI-powered platform for ophthalmology data analysis and clinical insights.,Existing
Amber Bio,https://www.amberbio.com,San Francisco,"953 Indiana Street, San Francisco, CA 94107",Pre-clinical/Startup,RNA writing platform for multi-kilobase genetic edits addressing diverse mutations with single therapeutic.,Existing
Ambys Medicines,https://www.ambys.com,South San Francisco,"131 Oyster Point Blvd, Suite 200, South San Francisco, CA 94080",Pre-clinical/Startup,Regenerative medicine and cell therapies for liver disease. Acquired by Cytotheryx.,Existing
Amgen (Bay Area),https://amgen.com,South San Francisco,"750 Gateway Blvd., Suite 100, South San Francisco, CA 94080",Large Pharma,Biologics & small-molecule drugs,Existing
Amphivena Therapeutics,https://amphivena.com,South San Francisco,"2 Tower Place, South San Francisco, CA 94080",Clinical-Stage Biotech,T-cell engaging bispecific antibodies for immuno-oncology. Core antibody engineering.,Existing
AmplifiDx,https://amplifidx.com,Newark,"39655 Eureka Dr, Newark, CA 94560",Pre-clinical/Startup,Molecular diagnostics (point-of-care),Existing
Amprion,https://ampriondx.com,San Francisco,"149 New Montgomery St. 4th Floor, San Francisco, CA 94105",Pre-clinical/Startup,Brain health diagnostics (prions),Existing
Amunix Pharmaceuticals,https://www.amunix.com,South San Francisco,"2 Tower Plaza, Suite 1100, South San Francisco, CA 94080",Acquired,"Masked T-cell engagers and cytokines (XPAT®, XPAC™ platforms). Acquired by Sanofi. Strong protein engineering.",Existing
Amygdala Neurosciences,https://amygns.com,Los Altos,"509 Hale Street, San Francisco, CA 94105",Pre-clinical/Startup,Addiction therapies (small-molecule),Existing
AnaSpec,https://anaspec.com,Fremont,"34801 Campus Drive, Fremont, CA 94555",Tools/Services/CDMO,Peptides & antibodies reagents,Existing
Ananya Health,https://ananya.health,Oakland,"400 29th Street, Oakland, CA 94607",Pre-clinical/Startup,Cryoablation therapy (cervical cancer),Existing
Anchor Molecular,https://anchormolecular.com,Pleasanton,"7026 Koll Center Parkway, Suite 215, Pleasanton, CA 94566",Tools/Services/CDMO,Quality controls & reference materials,Existing
AnchorDx,https://anchordx.com,Fremont,"46305 Landing Pkwy, Fremont, CA 94538",Pre-clinical/Startup,Next-gen sequencing (oncology),Existing
Ancora Bio,https://ancorabiotech.com,Palo Alto,"953 Roble Ridge Road, Palo Alto, CA",Pre-clinical/Startup,Multi-specific antibodies,Existing
Ancora Biotech,https://ancorabiotech.com,Palo Alto,"953 Roble Ridge Road, Palo Alto, CA 94306",Pre-clinical/Startup,Develops multi-specific antibodies for oncology and inflammatory diseases.,Existing
Ancora Heart,https://ancoraheart.com,Santa Clara,"4001 Burton Drive, Santa Clara, CA 95054",Pre-clinical/Startup,Device for mitral valve repair,Existing
Andromeda Surgical,https://andromedasurgical.com,South San Francisco,"101 Mississippi Street, San Francisco, CA",Pre-clinical/Startup,Surgical robotics,Existing
Angarus Therapeutics,https://angarustx.com,South San Francisco,"210 E Grand Ave., South San Francisco, CA 94080, USA",Pre-clinical/Startup,Oncology (immunosuppression-targeted),Existing
Anixa Biosciences,https://anixa.com,San Jose,"3150 Almaden Expressway, Suite 250, San Jose, CA 95118",Pre-clinical/Startup,Cancer diagnostics & CAR-T,Existing
Annexon Biosciences,https://annexonbio.com,South San Francisco,"180 Kimball Way, 2nd Floor, Suite 200, South San Francisco, CA 94080",Clinical-Stage Biotech,Antibody-based therapies targeting classical complement pathway (C1q) for autoimmune and neurodegenerative diseases.,Existing
Ansa Biotechnologies,https://www.ansabio.com,Emeryville,"1198 65th Street, Suite 250, Emeryville, CA 94608",Pre-clinical/Startup,"Enzymatic DNA synthesis technology for writing long, complex DNA strands with unprecedented speed and accuracy.",Existing
Antares Therapeutics,https://antaresrx.com,South San Francisco,"2 Tower Pl UNIT 900, South San Francisco, CA 94080, USA",Pre-clinical/Startup,Small-molecule drug technologies,Existing
Antheia,https://antheia.bio,Menlo Park,"1430 Obrien Drive, Suite A, Menlo Park, CA 94025",Pre-clinical/Startup,Yeast fermentation-based API production,Existing
Antibody Solutions,https://antibody.com,Santa Clara,"3033 Scott Boulevard, Santa Clara, CA 95054",Tools/Services/CDMO,Antibody discovery services,Existing
Antiva Biosciences,https://antivabio.com,Redwood City,"555 Twin Dolphin Drive, Suite 620, Redwood City, CA 94065",Pre-clinical/Startup,Antiviral therapeutics (HPV),Existing
Anwita Biosciences,https://anwitabio.com,San Carlos,"300 Industrial Road, San Carlos, CA 94070",Pre-clinical/Startup,Antibodies & fusion proteins,Existing
Apellis Pharmaceuticals,https://apellis.com,San Francisco,"720 Market Street, 5th Floor, San Francisco, CA 94102",Clinical-Stage Biotech,Cyclic peptide therapeutics,Existing
Apertor Pharmaceuticals,https://www.apertorpharma.com,Alameda,"1640 South Loop Road, Suite 200, Alameda, CA 94502",Pre-clinical/Startup,Molecular Glues & Protein-Protein Interaction Disruption,Existing
Apeximmune,https://apeximmune.com,Burlingame,"863A Mitten Road, Unit 161, Burlingame, CA 94010",Pre-clinical/Startup,Immuno-oncology mAbs,Existing
Apollomics,https://apollomicsinc.com,Foster City,"989 E. Hillsdale Boulevard, Suite 220, Foster City, CA 94404",Clinical-Stage Biotech,Cancer medicines (multi-target),Existing
Apostle Inc.,https://apostlebio.com,Pleasanton,"3589 Nevada Street, Pleasanton, CA 94566",Pre-clinical/Startup,Cancer diagnostics (liquid biopsy),Existing
Applied Biomics,https://appliedbiomics.com,Hayward,"23785 Cabot Boulevard, Suite 312, Hayward, CA 94545",Tools/Services/CDMO,Proteomics services,Existing
Applied Cells,https://appliedcells.com,Santa Clara,"3350 Scott Boulevard, Building 6, Santa Clara, CA 95054",Tools/Services/CDMO,Cell separation technology,Existing
Applied StemCell,https://appliedstemcell.com,Milpitas,"521 Cottonwood Drive, Suite 111, Milpitas, CA 95035",Tools/Services/CDMO,Cell lines & gene editing tools,Existing
Applied Viromics,https://appliedviromics.com,Fremont,"48521 Warm Springs Blvd, Fremont, CA 94539, USA",Tools/Services/CDMO,Custom viral vectors,Existing
Apreo Health,https://apreohealth.com,Menlo Park,"4040 Campbell Avenue, Suite 210, Menlo Park, CA 94025",Pre-clinical/Startup,Lung disease therapy,Existing
Aptah Bio,https://aptah-bio.com,San Carlos,"930 Brittan Avenue, Suite 307, San Carlos, CA 94070",Pre-clinical/Startup,RNA integrity therapeutics,Existing
Aqtual,https://aqtual.com,Hayward,"31145 San Antonio Street, Hayward, CA 94544",Pre-clinical/Startup,Cell-free DNA diagnostics,Existing
Aqua Medical,https://aquaendoscopy.com,Pleasanton,"6634 Owens Drive, Pleasanton, CA 94588",Pre-clinical/Startup,Endoscopic ablation therapy,Existing
Aquedeon Medical,https://aquedeonmedical.com,Sunnyvale,"452 Oakmead Parkway, Sunnyvale, CA 94085",Pre-clinical/Startup,Vascular graft system,Existing
Aragen Life Sciences,https://aragen.com,Morgan Hill,"380 Woodview Avenue, Morgan Hill, CA 95037",Tools/Services/CDMO,Biologics CRO (cell line assays),Existing
Aralez Bio,https://aralezbio.com,Berkeley,"2929 Seventh Street, Berkeley, CA 94710",Pre-clinical/Startup,Noncanonical amino acid tech,Existing
Arbor Vita,https://arborvita.com,Fremont,"48371 Fremont Boulevard, Suite 101, Fremont, CA 94538",Pre-clinical/Startup,Diagnostics (oncology),Existing
Arcadia Science,https://www.arcadiascience.com,Emeryville,"6401 Hollis St, Suite 100, Emeryville, CA 94608",Non-Profit/Research,"Discovery Biology & Open Science Platform.
Discovery biology + toolkits; computational/structural adjacent",Existing
Arcus Biosciences,https://www.arcusbio.com,Hayward,,,Cancer immunotherapy,BPG
Arda Therapeutics,https://ardatx.com,San Carlos,"930 Brittan Avenue, San Carlos, CA 94070",Pre-clinical/Startup,Pathogenic cell depletion (ADC),Existing
Ardelyx,https://www.ardelyx.com,Fremont,"34175 Ardenwood Blvd, Fremont, CA 94555",Commercial-Stage Biotech,"Small-molecule therapeutics (GI/kidney). Structure-based drug design potential;
pharma development alignment.",Existing
Aridis Pharmaceuticals,https://aridispharma.com,Los Gatos,"983 University Avenue, Suite B, Los Gatos, CA 95032",Pre-clinical/Startup,Monoclonal antibodies (infectious diseases),Existing
Ark Diagnostics,https://ark-tdm.com,Fremont,"48089 Fremont Boulevard, Fremont, CA 94538",Tools/Services/CDMO,Clinical assays (therapeutic drug monitoring),Existing
Arsenal Biosciences,https://arsenalbio.com,South San Francisco,"329 Oyster Point Blvd, South San Francisco, CA 94080",Clinical-Stage Biotech,Programmable cell therapies for solid tumors. Advanced protein and genetic engineering of T-cells.,Existing
Artera,https://artera.ai,Los Altos,"108 1st Street, Los Altos, CA 94022",Pre-clinical/Startup,AI diagnostics (radiology),Existing
Artery Therapeutics,https://arterytx.com,San Ramon,"10 Duberstein Drive, San Ramon, CA 94583",Pre-clinical/Startup,Peptide therapies (cardiology),Existing
Artificial,https://artificial.com,Palo Alto,"380 Portage Avenue, Palo Alto, CA 94306",Pre-clinical/Startup,AI lab automation platform,Existing
Ascendis Pharma,https://ascendispharma.com,Palo Alto,"1000 Page Mill Road, Palo Alto, CA 94304",Commercial-Stage Biotech,Prodrug therapies,Existing
Asegua Therapeutics,https://asegua.com,Foster City,"333 Lakeside Drive, Foster City, CA 94404",Acquired,Authorized generics (Gilead),Existing
Asher Biotherapeutics,https://asherbio.com,South San Francisco,"650 Gateway Blvd, Suite 100, South San Francisco, CA 94080",Clinical-Stage Biotech,Cis-targeted immunotherapies (engineered cytokines). Highly selective protein engineering platform.,Existing
Ashvattha Therapeutics,https://avttx.com,Redwood City,"1235 Radio Road, Suite 200, Redwood City, CA 94065",Clinical-Stage Biotech,Targeted nanomedicine therapeutics (hydroxyl dendrimers) for inflammatory diseases. Drug delivery focus.,Existing
Asieris Pharmaceuticals,https://asieris.com,Palo Alto,"2460 Embarcadero Way, Suite B, Palo Alto, CA 94303",Pre-clinical/Startup,Small-molecule & combo products,Existing
Aspa Therapeutics,https://aspatx.com,Palo Alto,"3160 Porter Dr, Suite 250, Palo Alto, CA 94304",Pre-clinical/Startup,Gene therapy (Canavan disease),Existing
