Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Simplify Genomics,https://simplifygenomics.com/,Solana Beach,,,Genomic Reporting Platform,,BPG,1980
Single Pass,https://www.singlepass.co/,Lake Forest,,,Biopsy Closure Device,,BPG,1983
Sinopia Biosciences,https://www.sinopiabio.com/,San Diego,,,Improved Delivery,,BPG,1985
Sira Medical,https://siramedical.com/,San Francisco,,,Augmented reality surgical software,,BPG,1987
Siren Biotechnology,https://sirenbiotechnology.com/,San Francisco,,,AAV Immuno-Gene Therapy,,BPG,1988
Sirius Therapeutics,https://www.siriusrna.com/,San Diego,,,RNAi Therapies,,BPG,1990
Slam BioTherapeutics,https://slambio.com/,Thousand Oaks,,,ADCs,,BPG,1993
Smith Drug Company,https://www.smithdrug.com/,,,,,"Smith Drug Company is a Spartanburg, South Carolina based drug wholesale company and a division of J M Smith Corporation.",Wikipedia,1995
Solaris Biotech,https://www.solarisbiotech.com/en/bioreactors-fermentors,Berkeley,,,"Specialized bioprocessing equipment for biotech, pharma, food + more. Benchtop / Pilot / Industrial Bioreactors, Fermenters, TFF.",,BPG,1996
SonALAsense,https://www.sonalasense.com/,Oakland,,,ALA Sonodynamic Therapy for Glioblastoma,,BPG,2001
SonoThera,https://sonothera.com/,South SF,,,Ultrasound-mediated nonviral gene delivery platform,,BPG,2003
Sonoma Biotherapeutics,https://sonomabio.com/,South SF,,,Cell Therapy,,BPG,2004
Sonorous,https://www.sonorousnv.com/,Lake Forest,,,Cerebral Venous Disease Device,,BPG,2005
Sovato,https://sovato.com/,Santa Barbara,,,Robotic-Assisted Surgery,,BPG,2009
Spartan Micro,https://www.spartanmicro.com/,Costa Mesa,,,Neurovascular related Medical Devices,,BPG,2011
Speclipse,https://www.speclipse.com/,Sunnyvale,,,Laser-Based Medical Diagnostics,,BPG,2013
Spectrum Pharmaceuticals,http://www.sppirx.com,,,,,"Spectrum Pharmaceuticals, Inc. is an American biopharmaceutical company located in Boston, MA. It develops and markets drugs for treatments in hematology and oncology.",Wikipedia,2014
Speid & Associates,https://speedingnewdrugstomarket.org/,San Diego,,,Global and strategic regulatory affairs and new medicine development support,,BPG,2016
Speid Associates,https://www.speedingnewdrugstomarket.com/,San Diego,,,Training in new medicine development,,BPG,2017
Spinogenix,https://www.spinogenix.com/,San Diego,,,Neurodegenerative Therapeutics,,BPG,2019
Splash Pharmaceuticals,http://www.splashpharma.com/,San Diego,,,Peptide,,BPG,2022
Spotlight Innovation,http://www.spotlightinnovation.com/,,,,,"Spotlight Innovation Inc. (OTCQB: STLT) [STATUS CLOSED] was an American pharmaceutical holding company. The company maintained two subsidiaries: Caretta Therapeutics, Inc.",Wikipedia,2023
Spruce Biosciences,https://sprucebio.com/,South SF,,,Treatments for diseases affecting the hypothalamic-pituitary-adrenal (HPA) axis,,BPG,2024
Square-1 Engineering,https://www.sqr1services.com/,Irvine,,,"Medical device consulting - R&D, Quality, Compliance, RA, Manufacturing",,BPG,2026
Stamm Biotech,https://www.stamm.bio/,San Francisco,,,Biomanufacturing Platform,,BPG,2027
"Standard Drug Company (Meridian, Mississippi)",https://npgallery.nps.gov/NRHP,,,,,"Standard Drug Company (founded as Hopkins and Bethea) is a historic pharmaceutical company in Meridian, Mississippi.",Wikipedia,2029
Star Therapeutics,https://star-therapeutics.com/,South SF,,,Antibody Therapeutics,,BPG,2030
Starlight Cardiovascular,https://www.starlightcardio.com/,San Diego,,,Devices for Congenital Heart Defects,,BPG,2031
Stately Bio,https://statelybio.com/,San Francisco,,,ML Cell Imaging,,BPG,2033
StemCardia,https://www.stemcardia.com/,Sacramento,,,Cell & gene therapies engineered to repair the heart,,BPG,2035
Stiefel Laboratories,http://www.stiefel.com/contactus.html,,,,,"Stiefel Laboratories Inc. was an American dermatological pharmaceutical company, with its global headquarters in Research Triangle Park, North Carolina. It makes products such as Duac and Oilatum.",Wikipedia,2039
Strategikon Pharma,https://strategikon.com/,San Francisco,,,Digital tools for the business side of clinical trials.,,BPG,2040
StrokeDx,https://www.stroke-dx.com/,Culver City,,,Stroke Diagnostics Machine,,BPG,2042
Sunovion,http://www.sunovion.com/,,,,,"On July 1, 2023, Sunovion Pharmaceuticals Inc.",Wikipedia,2050
Supercede Therapeutics,https://supercedetherapeutics.com/,Belmont,,,Bioinformatic Drug Discovery,,BPG,2051
Superfluid Dx,https://www.superfluiddx.com/,South SF,,,Circulating RNA for diagnosis,,BPG,2052
Surf Bio,https://www.surf.bio/,Palo Alto,,,Biologic Stabilization Platform,,BPG,2055
Surface Ophthalmics,https://surfaceophthalmics.com/,Pleasanton,,,505(b)(2) drugs,,BPG,2056
Surge,https://www.surge.care/,San Francisco,,,Machine learning algorithms to decode a patient's immune system from a blood sample for outcome prediction,,BPG,2057
Sutra Medical,https://sutramedical.com/,Lake Forest,,,Transcatheter mitral and pulmonary valve replacement devices,,BPG,2059
Swing Therapeutics,https://swingtherapeutics.com/,San Francisco,,,Digital Therapeutics,,BPG,2063
Switch Therapeutics,https://www.switchthera.com/,South SF,,,RNAi Therapies,,BPG,2064
Synageva,http://www.synageva.com/,,,,,Synageva BioPharma Corp.,Wikipedia,2066
Synfini,https://synfini.com/,Menlo Park,,,AI Drug Design,,BPG,2067
Synlico,https://synlico.com/,South SF,,,In Silico CAR T Drug Discovery,,BPG,2068
Synthetic Design Lab,https://www.syntheticdesignlab.com/,San Francisco,,,ADCs,,BPG,2073
Synvivia,https://www.synvivia.com/,Berkeley,,,Protein Switches,,BPG,2074
TE Connectivity,https://www.te.com/en/home.html,Carlsbad,,,Medical Devices,,BPG,2078
TORL BioTherapeutics,https://torlbio.com/,Culver City,,,Antibody-drug Conjugate,,BPG,2081
TRIO Pharmaceuticals,https://www.triopharmaceuticals.com/,San Carlos,,,Cancer Immunotherapeutics,,BPG,2082
TRexBio,https://trex.bio/,South SF,,,Treg mapping in human tissues,,BPG,2083
Tactogen,https://tactogen.com/,,,,,"Tactogen is a public benefit corporation and start-up pharmaceutical company based in Palo Alto, California that is developing novel MDMA-like entactogens and psychedelics as medicines.",Wikipedia,2085
Tahoe Therapeutics,https://www.tahoebio.ai/,South SF,,,in vivo single cell atlas,,BPG,2086
Tallac Therapeutics,https://www.tallactherapeutics.com/,Burlingame,,,Novel Cancer Immunotherapies,,BPG,2088
