Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
Motric Bio,https://www.motricbio.com/,Oakland,,,Small Molecule,,BPG,1414
Mountain View Pharmaceuticals,http://www.mvpharm.com,San Carlos,,,Drug Delivery,,BPG,1415
Multitude Therapeutics,https://www.multitudetherapeutics.info/,Redwood City,,,"Antibody Discovery Arrays, ADCs",,BPG,1419
Mustang Bio,http://mustangbio.com,,,,,"Mustang Bio is an American clinical-stage biopharmaceutical company founded in 2015 and headquartered in Worcester, MA, U.S.",Wikipedia,1422
Mydecine,https://mydecine.com/,,,,,"Mydecine Innovations Group, or simply Mydecine, is an American and Canadian pharmaceutical company that is developing psychedelics and entactogens as medicines.",Wikipedia,1426
Myer Research,https://www.myer-research.com/,Napa,,,"In vivo, in vitro and veterinary clinical assays",,BPG,1427
Myka Labs,https://myka.bio/,San Francisco,,,AI-based integrated solutions for interventional oncology,,BPG,1428
Myocea,https://myocea.com/index,Oceanside,,,Cell-derived Muscle Models,,BPG,1430
Myrexis,https://myrexis.com/,,,,,"Myrexis is an American biopharmaceutical company based in Salt Lake City, Utah. It was focused on drug development in several areas of medicine, in particular cancer therapy and auto-immune diseases.",Wikipedia,1431
N-Power Medicine,https://www.npowermedicine.com/,Redwood City,,,Clinical research and drug development platform for oncology,,BPG,1433
N1 Life,https://www.n1life.co/,Milpitas,,,Drug Delivery Innovation,,BPG,1434
NEOK Bio,https://www.neokbio.com/,Palo Alto,,,Novel antibody drug conjugates (ADCs) for improving outcomes for cancer patients,,BPG,1437
NGGT,https://nggtbio.com/,Walnut Creek,,,Gene Therapies,,BPG,1438
NGM Biopharmaceuticals,https://www.ngmbio.com/,South SF,,,Type 2 Diabetes,,BPG,1439
NaNotics,https://www.nanotics.com/,Mill Valley,,,Nanomedicine,,BPG,1442
Nalo Therapeutics,https://nalotherapeutics.com/,Palo Alto,,,Small Molecules,,BPG,1443
Nano Pharmasolutions,https://nanopharmasolutions.com/,San Diego,,,Ultra-small particulates,,BPG,1446
Nanomix,https://nanomixdx.com/,Emeryville,,,Automated POC diagnostic system,,BPG,1451
Nanotools Bioscience,https://www.nanotoolsbio.com/,San Diego,,,Nanotechnology-based optical control of functional activity of live cells,,BPG,1454
NantOmics,https://nantomics.com/,El Segundo,,,Genomic Diagnostics,,BPG,1456
Narwhal Bio,https://narwhal.bio/,San Diego,,,Single-cell multiomics,,BPG,1457
Nascent Biotech,https://www.nascentbiotech.com/,San Diego,,,Antibody Research,,BPG,1458
Navire Pharma,https://navirepharma.com/,San Francisco,,,Small Molecules Targeting SHP2,,BPG,1463
Nebula Genomics,https://nebula.org/,San Francisco,,,"Consumer Sequencing, Blockchain, Selling Personal Data, George Church, etc",,BPG,1465
