Company Name,Website,City,Address,Relevance to Profile,Company Stage,Notes,Hiring
Prellis Biologics,https://www.prellisbio.com,Berkeley,"Berkeley, CA",Tier 2,Pre-clinical/Startup,3D Organoids for Antibody Discovery & AI,
Profluent,https://www.profluent.bio,Emeryville,"Emeryville, CA",Tier 1,Pre-clinical/Startup,AI-first Protein Design & Generative Models,
Prolific Machines,https://www.prolific-machines.com,Emeryville,"Emeryville, CA",Tier 1,Pre-clinical/Startup,Optogenetic Control of Protein Production,
Ray Therapeutics,https://www.raytx.com,Berkeley,"2607 7th Street, Suite B, Berkeley, CA 94710",Tier 1,Pre-clinical/Startup,Optogenetic Gene Therapy & Protein Engineering,
Regel Therapeutics,https://www.regel.bio,Berkeley,"Berkeley, CA",Tier 1,Pre-clinical/Startup,Targeted EpiEditing & dCAS Fusion Proteins,
ResVita Bio,https://www.resvitabio.com,Berkeley,"2625 Durant Avenue, Berkeley, CA 94720",Tier 1,Pre-clinical/Startup,Engineered Skin Probiotics & Protein Delivery,
Sampling Human,https://www.samplinghuman.com,Berkeley,"Berkeley, CA",Tier 2,Pre-clinical/Startup,Synthetic Biology & Single-Cell Biomarkers,
Santa Ana Bio,https://www.santaanabio.com,Alameda,"Alameda, CA",Tier 2,Pre-clinical/Startup,Precision Immunology & Antibody Engineering,
Santen,https://www.santen.com,Emeryville,"6401 Hollis Street, Suite 125, Emeryville, CA 94608",Tier 3,Large Pharma,Ophthalmology drug development; translational. Ophthalmology drug development; translational,
Scribe Therapeutics,https://www.scribetx.com,Alameda,"1150 Marina Village Parkway, Suite 100, Alameda, CA 94501",Tier 1,Pre-clinical/Startup,CRISPR Enzyme Engineering for In Vivo Therapies. Protein engineering of nucleases; strong structural fit.,
Unchained Labs,https://www.unchainedlabs.com,Pleasanton,"4747 Willow Road, Pleasanton, CA 94588",Tier 3,Tools/Services/CDMO,Biologics analytics instruments. Protein stability & characterization tools; applications science roles.,
UCSF Benioff Children's Hospital Oakland,https://www.ucsfbenioffchildrens.org/locations/oakland,Oakland,"5700 Martin Luther King Jr Way, Oakland, CA 94609",Tier 3,Academic/Gov't,Translational Pediatric Research & Core Facilities. Translational biology; proteomics/genomics cores,
USDA Western Regional Research Center,https://www.ars.usda.gov/pacific-west-area/albany-ca/wrrc/,Albany,"800 Buchanan St, Albany, CA 94710",Tier 1,Academic/Gov't,Agricultural Research & Protein Chemistry & Enzymes. Protein chemistry/enzymes; comp/analytical methods,
Valitor,https://www.valitorbio.com,Berkeley,"Berkeley, CA",Tier 1,Pre-clinical/Startup,Protein Therapeutics & Multivalent Biopolymers,
XOMA Corporation,https://www.xoma.com,Emeryville,"2200 Powell Street, Suite 310, Emeryville, CA 94608",Tier 3,Commercial-Stage Biotech,Royalty aggregator; legacy antibody discovery. Antibody/biologics royalty aggregator; legacy protein eng; minimal in-house R&D today,
Zymergen,https://www.zymergen.com,Emeryville,"5959 Horton Street, Suite 700, Emeryville, CA 94608",Tier 2,Pre-clinical/Startup,Synthetic biology & materials innovation. Note: Company filed for bankruptcy in 2021 but assets may have been acquired,
Metagenomi,https://www.metagenomi.co,Emeryville,"1545 Park Avenue, Emeryville, CA 94608",Tier 1,Pre-clinical/Startup,Next-generation gene editing systems. Novel CRISPR systems and base editors,
Mammoth Biosciences,https://www.mammothbio.com,Brisbane,"1000 Marina Blvd, Suite 600, Brisbane, CA 94005",Tier 1,Clinical-Stage Biotech,CRISPR diagnostics and therapeutics. CRISPR-based diagnostics and in vivo gene editing,
Sangamo Therapeutics,https://www.sangamo.com,Brisbane,"7000 Marina Boulevard, Brisbane, CA 94005",Tier 1,Clinical-Stage Biotech,Zinc finger nucleases & gene therapy. Genomic medicines using zinc finger technology,
Intellia Therapeutics,https://www.intelliatx.com,Brisbane,,Tier 1,Clinical-Stage Biotech,CRISPR/Cas9 gene editing therapeutics. In vivo and ex vivo CRISPR therapies,
BioMarin Pharmaceutical,https://www.biomarin.com,San Rafael,"770 Lindaro Street, San Rafael, CA 94901",Tier 1,Commercial-Stage Biotech,Rare genetic diseases therapeutics. Enzyme replacement therapies and gene therapies,
Ultragenyx Pharmaceutical,https://www.ultragenyx.com,Novato,"60 Leveroni Court, Novato, CA 94949",Tier 1,Commercial-Stage Biotech,Rare and ultra-rare genetic diseases. Gene therapy and enzyme replacement therapy,
Freenome,https://www.freenome.com,Brisbane,"3300 Marina Blvd, Brisbane, CA 94005",Tier 2,Clinical-Stage Biotech,Multi-omics for early cancer detection. Liquid biopsy and machine learning for diagnostics,
IGM Biosciences,https://www.igmbio.com,Mountain View,"325 E Middlefield Rd, Mountain View, CA 94043",Tier 1,Clinical-Stage Biotech,Engineered IgM antibodies. Novel antibody engineering platform,
Calico Life Sciences,https://www.calicolabs.com,South San Francisco,"1170 Veterans Blvd, South San Francisco, CA 94080",Tier 2,Pre-clinical/Startup,Aging and age-related diseases. Fundamental biology of aging research,
