Company Name,Website,City,Relevance to Profile,Company Stage,Notes,Hiring
Bolt Threads,https://boltthreads.com,Emeryville,Tier 1,Commercial-Stage Biotech,Biomaterials; recombinant silk proteins. Fermentation scale protein expression & engineering.,
Caribou Biosciences,https://www.cariboubio.com,Berkeley,Tier 1,Clinical-Stage Biotech,Next-Gen CRISPR Allogeneic Cell Therapies. Cas protein engineering & genome editing; strong structural biology links.,
Catalent,https://www.catalent.com,Emeryville,Tier 2,Tools/Services/CDMO,Antibody-Drug Conjugates (ADCs) & Bioconjugation,
Catena Biosciences,https://www.catenabio.com,Berkeley,Tier 1,Clinical-Stage Biotech,Protein conjugation therapeutics (ADCs). Engineered enzyme for site-specific conjugation; structural enzymology fit.,
CellFE,https://www.cellfe.com,Alameda,Tier 2,Pre-clinical/Startup,Microfluidics for Intracellular Delivery,
Cerus Corporation,https://www.cerus.com,Concord,Tier 3,Commercial-Stage Biotech,Blood safety; pathogen inactivation. Biochemistry & immunology; product development & GMP.,
Joint Genome Institute,https://jgi.doe.gov,Berkeley,Tier 3,Academic/Gov't,Large-scale genomics; comp biology & sequencing,
Dynavax Technologies,https://www.dynavax.com,Emeryville,Tier 3,Commercial-Stage Biotech,Vaccines & TLR Agonists & Immunology. Adjuvant biology; protein production for vaccine antigens.,
Eikon Therapeutics,https://www.eikontx.com,Hayward,Tier 1,Clinical-Stage Biotech,Live-cell single-molecule imaging drug discovery. Protein dynamics & quantitative imaging; structural insights valuable.,
Eureka Therapeutics,https://www.eurekatherapeutics.com,Emeryville,Tier 1,Clinical-Stage Biotech,T-Cell Therapies & Antibody Discovery & Structural Bio. T-cell therapies/antibody discovery; structural/biochem,
Exelixis,https://www.exelixis.com,Alameda,Tier 2,Commercial-Stage Biotech,Oncology Drug Development (Small Molecule & Biologics). Oncology drug developer; small-molecule discovery/dev,
GeneFab,https://www.genefab.com,Alameda,Tier 3,Tools/Services/CDMO,CRDMO for Cell & Gene Therapies,
Ginkgo Bioworks,https://www.ginkgobioworks.com,Emeryville,Tier 1,Commercial-Stage Biotech,High-Throughput Organism Engineering. High-throughput protein expression & computational design.,
Glyphic Biotechnologies,https://www.glyphicbio.com,Berkeley,Tier 1,Pre-clinical/Startup,Single-Molecule Protein Sequencing Platform,
Gritstone bio,https://www.gritstonebio.com,Emeryville,Tier 2,Clinical-Stage Biotech,Immuno-oncology & AI-based Antigen Discovery. Immuno-oncology/infectious disease; AI + antigen discovery,
Indee Labs,https://www.indeelabs.com,Berkeley,Tier 2,Pre-clinical/Startup,Microfluidics for Intracellular Delivery,
Innovative Genomics Institute,https://innovativegenomics.org,Berkeley,Tier 1,Academic/Gov't,CRISPR/Genomics Research Institute. CRISPR/genomics institute; comp bio + translational,
Joint BioEnergy Institute,https://www.jbei.org,Emeryville,Tier 1,Academic/Gov't,Synthetic Biology & Biofuels & Process Scale-up. Synbio/enzymes; high-throughput strain/protein work,
Kimia Therapeutics,https://www.kimiatx.com,Berkeley,Tier 2,Pre-clinical/Startup,AI/ML Drug Discovery Platform,
Kyverna Therapeutics,https://www.kyvernatx.com,Emeryville,Tier 2,Clinical-Stage Biotech,Autoimmune cell therapy (CAR-Treg). Gene & protein engineering; translational cell therapy.,
Advanced Light Source,https://als.lbl.gov,Berkeley,Tier 1,Academic/Gov't,Synchrotron for Structural Biology. Synchrotron for structural biology/imaging,
Lonza,https://www.lonza.com,Hayward,Tier 3,Tools/Services/CDMO,CDMO; biologics & CGT manufacturing. CDMO; biologics/cell & gene therapy manufacturing,
Lygos,https://www.lygos.com,Berkeley,Tier 1,Commercial-Stage Biotech,Industrial biotech; enzyme engineering. Metabolic pathway & enzyme optimization; fermentation.,
Nanotein,https://www.nanotein.com,Berkeley,Tier 1,Pre-clinical/Startup,Protein-based Reagents for Cell Therapy,
Novartis,https://www.novartis.com,Emeryville,Tier 2,Large Pharma,Infectious disease & global health R&D. Multidisciplinary drug discovery; potential structural biology roles.,
Nutcracker Therapeutics,https://www.nutcrackerx.com,Emeryville,Tier 2,Clinical-Stage Biotech,mRNA therapeutics platform. Protein/RNA engineering & automated GMP workflows.,
Ohmic Biosciences,https://www.ohmicbio.com,Alameda,Tier 1,Pre-clinical/Startup,Protein Engineering for Crop Disease Resistance,
OmniAb,https://www.omniab.com,Emeryville,Tier 2,Tools/Services/CDMO,Transgenic Platforms for Antibody Discovery,
Phyllom BioProducts,https://www.phyllom.com,Oakland,Tier 2,Commercial-Stage Biotech,Microbial Biopesticides & Protein Engineering,
Pivot Bio,https://www.pivotbio.com,Berkeley,Tier 1,Commercial-Stage Biotech,Engineered Microbes & Computational Protein Design. Engineered microbes; computational protein/genome design,
Prellis Biologics,https://www.prellisbio.com,Berkeley,Tier 2,Pre-clinical/Startup,3D Organoids for Antibody Discovery & AI,
Profluent,https://www.profluent.bio,Emeryville,Tier 1,Pre-clinical/Startup,AI-first Protein Design & Generative Models,
Prolific Machines,https://www.prolific-machines.com,Emeryville,Tier 1,Pre-clinical/Startup,Optogenetic Control of Protein Production,
Ray Therapeutics,https://www.raytx.com,Berkeley,Tier 1,Pre-clinical/Startup,Optogenetic Gene Therapy & Protein Engineering,
Regel Therapeutics,https://www.regel.bio,Berkeley,Tier 1,Pre-clinical/Startup,Targeted EpiEditing & dCAS Fusion Proteins,
ResVita Bio,https://www.resvitabio.com,Berkeley,Tier 1,Pre-clinical/Startup,Engineered Skin Probiotics & Protein Delivery,
Sampling Human,https://www.samplinghuman.com,Berkeley,Tier 2,Pre-clinical/Startup,Synthetic Biology & Single-Cell Biomarkers,
Santa Ana Bio,https://www.santaanabio.com,Alameda,Tier 2,Pre-clinical/Startup,Precision Immunology & Antibody Engineering,
Santen,https://www.santen.com,Emeryville,Tier 3,Large Pharma,Ophthalmology drug development; translational. Ophthalmology drug development; translational,
Scribe Therapeutics,https://www.scribetx.com,Alameda,Tier 1,Pre-clinical/Startup,CRISPR Enzyme Engineering for In Vivo Therapies. Protein engineering of nucleases; strong structural fit.,
Unchained Labs,https://www.unchainedlabs.com,Pleasanton,Tier 3,Tools/Services/CDMO,Biologics analytics instruments. Protein stability & characterization tools; applications science roles.,
UCSF Benioff Children's Hospital Oakland,https://www.ucsfbenioffchildrens.org/locations/oakland,Oakland,Tier 3,Academic/Gov't,Translational Pediatric Research & Core Facilities. Translational biology; proteomics/genomics cores,
USDA Western Regional Research Center,https://www.ars.usda.gov/pacific-west-area/albany-ca/wrrc/,Albany,Tier 1,Academic/Gov't,Agricultural Research & Protein Chemistry & Enzymes. Protein chemistry/enzymes; comp/analytical methods,
Valitor,https://www.valitorbio.com,Berkeley,Tier 1,Pre-clinical/Startup,Protein Therapeutics & Multivalent Biopolymers,
XOMA Corporation,https://www.xoma.com,Emeryville,Tier 3,Commercial-Stage Biotech,Royalty aggregator; legacy antibody discovery. Antibody/biologics royalty aggregator; legacy protein eng; minimal in-house R&D today,
Zymergen,https://www.zymergen.com,Emeryville,Tier 2,Pre-clinical/Startup,Synthetic biology & materials innovation. Note: Company filed for bankruptcy in 2021 but assets may have been acquired,
Metagenomi,https://www.metagenomi.co,Emeryville,Tier 1,Pre-clinical/Startup,Next-generation gene editing systems. Novel CRISPR systems and base editors,
Mammoth Biosciences,https://www.mammothbio.com,Brisbane,Tier 1,Clinical-Stage Biotech,CRISPR diagnostics and therapeutics. CRISPR-based diagnostics and in vivo gene editing,
Sangamo Therapeutics,https://www.sangamo.com,Brisbane,Tier 1,Clinical-Stage Biotech,Zinc finger nucleases & gene therapy. Genomic medicines using zinc finger technology,
Intellia Therapeutics,https://www.intelliatx.com,Brisbane,Tier 1,Clinical-Stage Biotech,CRISPR/Cas9 gene editing therapeutics. In vivo and ex vivo CRISPR therapies,
BioMarin Pharmaceutical,https://www.biomarin.com,San Rafael,Tier 1,Commercial-Stage Biotech,Rare genetic diseases therapeutics. Enzyme replacement therapies and gene therapies,
Ultragenyx Pharmaceutical,https://www.ultragenyx.com,Novato,Tier 1,Commercial-Stage Biotech,Rare and ultra-rare genetic diseases. Gene therapy and enzyme replacement therapy,
Freenome,https://www.freenome.com,Brisbane,Tier 2,Clinical-Stage Biotech,Multi-omics for early cancer detection. Liquid biopsy and machine learning for diagnostics,
IGM Biosciences,https://www.igmbio.com,Mountain View,Tier 1,Clinical-Stage Biotech,Engineered IgM antibodies. Novel antibody engineering platform,
Calico Life Sciences,https://www.calicolabs.com,South San Francisco,Tier 2,Pre-clinical/Startup,Aging and age-related diseases. Fundamental biology of aging research,
