Company Name,Website,City,Address,Relevance to Profile,Company Stage,Notes,Hiring
Actym Therapeutics,https://www.actym.com,Berkeley,"717 Market St, San Francisco, CA 94103",2,Pre-clinical/Startup,Microbial-based Immunotherapy Platform,
Addition Therapeutics,https://www.additiontx.com,Berkeley,"2630 Bancroft Way, Berkeley, CA 94704",2,Pre-clinical/Startup,RNA-mediated Transgene Insertion,
Amber Bio,https://www.amberbio.com,Berkeley,"953 Indiana Street, San Francisco, CA 94107",2,Pre-clinical/Startup,RNA Writing & Multi-kilobase Gene Editing,
Bayer,https://www.bayer.com,Berkeley,"800 Dwight Way, Berkeley, CA 94710",2,Large Pharma,"Biologics & Cell & Gene Therapy & Manufacturing.
Biologics & CGT; process/analytical development",
Caribou Biosciences,https://www.cariboubio.com,Berkeley,"2929 7th Street, Suite 105, Berkeley, CA 94710",1,Clinical-Stage Biotech,"Next-Gen CRISPR Allogeneic Cell Therapies.
Cas protein engineering & genome editing; strong structural biology links.",
Catena Biosciences,https://www.catenabio.com,Berkeley,"820 Heinz Ave, Berkeley, CA 94710",1,Clinical-Stage Biotech,"Protein conjugation therapeutics (ADCs).
Engineered enzyme for site-specific conjugation; structural enzymology fit.",
Joint Genome Institute,https://jgi.doe.gov,Berkeley,"1 Cyclotron Road, Berkeley, CA 94720",3,Academic/Gov't,"Large-scale genomics;
comp biology & sequencing",
Glyphic Biotechnologies,https://www.glyphicbio.com,Berkeley,"3100 San Pablo Avenue, Suite 201, Berkeley, CA 94702",1,Pre-clinical/Startup,Single-Molecule Protein Sequencing Platform,
Indee Labs,https://www.indeelabs.com,Berkeley,"626 Bancroft Way, Suite A, Berkeley, CA 94710",2,Pre-clinical/Startup,Microfluidics for Intracellular Delivery,
Innovative Genomics Institute,https://innovativegenomics.org,Berkeley,"2151 Berkeley Way, Berkeley, CA 94720",1,Academic/Gov't,"CRISPR/Genomics Research Institute.
CRISPR/genomics institute; comp bio + translational",
Kimia Therapeutics,https://www.kimiatx.com,Berkeley,"740 Heinz Avenue, Berkeley, CA 94710",2,Pre-clinical/Startup,AI/ML Drug Discovery Platform,
Advanced Light Source,https://als.lbl.gov,Berkeley,"1 Cyclotron Rd, Berkeley, CA 94720",1,Academic/Gov't,"Synchrotron for Structural Biology.
Synchrotron for structural biology/imaging",
Lygos,https://www.lygos.com,Berkeley,"1249 8th Street, Berkeley, CA 94710",1,Commercial-Stage Biotech,"Industrial biotech; enzyme engineering. Metabolic pathway & enzyme optimization;
fermentation.",
Nanotein,https://www.nanotein.com,Berkeley,"2950 San Pablo Ave, Berkeley, CA 94702",1,Pre-clinical/Startup,Protein-based Reagents for Cell Therapy,
Pivot Bio,https://www.pivotbio.com,Berkeley,"2910 7th St, Berkeley, CA 94710",1,Commercial-Stage Biotech,"Engineered Microbes & Computational Protein Design.
Engineered microbes; computational protein/genome design",
Prellis Biologics,https://www.prellisbio.com,Berkeley,"999 Anthony Street, Berkeley, CA 94710",2,Pre-clinical/Startup,3D Organoids for Antibody Discovery & AI,
Ray Therapeutics,https://www.raytx.com,Berkeley,"2607 7th Street, Suite B, Berkeley, CA 94710",1,Pre-clinical/Startup,Optogenetic Gene Therapy & Protein Engineering,
Regel Therapeutics,https://www.regel.bio,Berkeley,"2630 Bancroft Way, Berkeley, CA 94704",1,Pre-clinical/Startup,Targeted EpiEditing & dCAS Fusion Proteins,
ResVita Bio,https://www.resvitabio.com,Berkeley,"2625 Durant Avenue, Berkeley, CA 94720",1,Pre-clinical/Startup,Engineered Skin Probiotics & Protein Delivery,
Sampling Human,https://www.samplinghuman.com,Berkeley,"2625 Durant Avenue, Berkeley, CA 94720",2,Pre-clinical/Startup,Synthetic Biology & Single-Cell Biomarkers,
Valitor,https://www.valitorbio.com,Berkeley,"820 Heinz Avenue, Berkeley, CA 94710",1,Pre-clinical/Startup,Protein Therapeutics & Multivalent Biopolymers,
Mammoth Biosciences,https://www.mammothbio.com,Brisbane,"1000 Marina Blvd, Suite 600, Brisbane, CA 94005",1,Clinical-Stage Biotech,"CRISPR diagnostics and therapeutics.
CRISPR-based diagnostics and in vivo gene editing",
Sangamo Therapeutics,https://www.sangamo.com,Brisbane,"7000 Marina Boulevard, Brisbane, CA 94005",1,Clinical-Stage Biotech,"Zinc finger nucleases & gene therapy.
Genomic medicines using zinc finger technology",
Freenome,https://www.freenome.com,Brisbane,"3300 Marina Blvd, Brisbane, CA 94005",2,Clinical-Stage Biotech,"Multi-omics for early cancer detection.
Liquid biopsy and machine learning for diagnostics",
Cerus Corporation,https://www.cerus.com,Concord,"1220 Concord Avenue, Concord, CA 94520",3,Commercial-Stage Biotech,"Blood safety; pathogen inactivation. Biochemistry & immunology;
product development & GMP.",
4D Molecular Therapeutics,https://www.4dmoleculartherapeutics.com,Emeryville,"5858 Horton Street, Suite 455, Emeryville, CA 94608",1,Clinical-Stage Biotech,"AAV gene therapy; capsid engineering.
Engineered viral capsids & delivery; protein design/structural virology relevant.",
Abalone Bio,https://www.abalonebio.com,Emeryville,"1250 45th St, Suite 520, Emeryville, CA 94608",2,Pre-clinical/Startup,Functional Antibody Discovery for GPCRs & AI,
Advanced Biofuels and Bioproducts Process Development Unit,https://abpdu.lbl.gov,Emeryville,"5885 Hollis St, Emeryville, CA 94608",2,Academic/Gov't,"Scale-up/process;
fermentation and downstream",
Ansa Biotechnologies,https://www.ansabio.com,Emeryville,"1198 65th Street, Suite 250, Emeryville, CA 94608",1,Pre-clinical/Startup,"Enzymatic DNA Synthesis & Enzyme Engineering.
Enzyme engineering & computational chemistry; direct protein engineering relevance.",
Arcadia Science,https://www.arcadiascience.com,Emeryville,"6401 Hollis St, Suite 100, Emeryville, CA 94608",2,Non-Profit/Research,"Discovery Biology & Open Science Platform.
Discovery biology + toolkits; computational/structural adjacent",
Bolt Threads,https://boltthreads.com,Emeryville,"5858 Horton Street, Emeryville, CA 94608",1,Commercial-Stage Biotech,"Biomaterials; recombinant silk proteins.
Fermentation scale protein expression & engineering.",
Catalent,https://www.catalent.com,Emeryville,"5959 Horton St, Suite 400, Emeryville, CA 94608",2,Tools/Services/CDMO,Antibody-Drug Conjugates (ADCs) & Bioconjugation,
Dynavax Technologies,https://www.dynavax.com,Emeryville,"2100 Powell St, Suite 720, Emeryville, CA 94608",3,Commercial-Stage Biotech,"Vaccines & TLR Agonists & Immunology.
Adjuvant biology; protein production for vaccine antigens.",
Eureka Therapeutics,https://www.eurekatherapeutics.com,Emeryville,"5858 Horton St, Suite 370, Emeryville, CA 94608",1,Clinical-Stage Biotech,"T-Cell Therapies & Antibody Discovery & Structural Bio.
T-cell therapies/antibody discovery; structural/biochem",
Ginkgo Bioworks,https://www.ginkgobioworks.com,Emeryville,"5858 Horton Street, Suite 400, Emeryville, CA 94608",1,Commercial-Stage Biotech,"High-Throughput Organism Engineering.
High-throughput protein expression & computational design.",
Gritstone bio,https://www.gritstonebio.com,Emeryville,"5959 Horton St, Suite 300, Emeryville, CA 94608",2,Clinical-Stage Biotech,"Immuno-oncology & AI-based Antigen Discovery.
Immuno-oncology/infectious disease; AI + antigen discovery",
Joint BioEnergy Institute,https://www.jbei.org,Emeryville,"5885 Hollis St, Emeryville, CA 94608",1,Academic/Gov't,"Synthetic Biology & Biofuels & Process Scale-up. Synbio/enzymes;
high-throughput strain/protein work",
Kyverna Therapeutics,https://www.kyvernatx.com,Emeryville,"5980 Horton Street, Suite 550, Emeryville, CA 94608",2,Clinical-Stage Biotech,"Autoimmune cell therapy (CAR-Treg). Gene & protein engineering;
translational cell therapy.",
Novartis,https://www.novartis.com,Emeryville,"5959 Horton Street, Emeryville, CA 94608",2,Large Pharma,"Infectious disease & global health R&D. Multidisciplinary drug discovery;
potential structural biology roles.",
Nutcracker Therapeutics,https://www.nutcrackerx.com,Emeryville,"5858 Horton Street, Suite 540, Emeryville, CA 94608",2,Clinical-Stage Biotech,"mRNA therapeutics platform.
Protein/RNA engineering & automated GMP workflows.",
OmniAb,https://www.omniab.com,Emeryville,"5980 Horton Street, Suite 600, Emeryville, CA 94608",2,Tools/Services/CDMO,Transgenic Platforms for Antibody Discovery,
Profluent,https://www.profluent.bio,Emeryville,"1480 64th Street, Emeryville, CA 94608",1,Pre-clinical/Startup,AI-first Protein Design & Generative Models,
Prolific Machines,https://www.prolific-machines.com,Emeryville,"6400 Hollis Street, Suite 1, Emeryville, CA 94608",1,Pre-clinical/Startup,Optogenetic Control of Protein Production,
Santen,https://www.santen.com,Emeryville,"6401 Hollis Street, Suite 125, Emeryville, CA 94608",3,Large Pharma,"Ophthalmology drug development;
translational. Ophthalmology drug development; translational",
XOMA Corporation,https://www.xoma.com,Emeryville,"2200 Powell Street, Suite 310, Emeryville, CA 94608",3,Commercial-Stage Biotech,"Royalty aggregator; legacy antibody discovery.
Antibody/biologics royalty aggregator; legacy protein eng; minimal in-house R&D today",
Zymergen,https://www.zymergen.com,Emeryville,"5959 Horton Street, Suite 700, Emeryville, CA 94608",2,Pre-clinical/Startup,"Synthetic biology & materials innovation.
Note: Company filed for bankruptcy in 2021 but assets may have been acquired",
Metagenomi,https://www.metagenomi.co,Emeryville,"1545 Park Avenue, Emeryville, CA 94608",1,Pre-clinical/Startup,"Next-generation gene editing systems.
Novel CRISPR systems and base editors",
Ardelyx,https://www.ardelyx.com,Fremont,"34175 Ardenwood Blvd, Fremont, CA 94555",3,Commercial-Stage Biotech,"Small-molecule therapeutics (GI/kidney). Structure-based drug design potential;
pharma development alignment.",
Eikon Therapeutics,https://www.eikontx.com,Hayward,"3929 Point Eden Way, Hayward, CA 94545",1,Clinical-Stage Biotech,"Live-cell single-molecule imaging drug discovery. Protein dynamics & quantitative imaging;
structural insights valuable.",
Lonza,https://www.lonza.com,Hayward,"21075 Alexander Court, Hayward, CA 94545",3,Tools/Services/CDMO,"CDMO; biologics & CGT manufacturing. CDMO;
biologics/cell & gene therapy manufacturing",
Bio-Rad Laboratories,https://www.bio-rad.com,Hercules,"1000 Alfred Nobel Drive, Hercules, CA 94547",3,Commercial-Stage Biotech,"Life-science instruments & diagnostics.
Protein analytics/tools used by structural biologists; product development roles.",
IGM Biosciences,https://www.igmbio.com,Mountain View,"325 E Middlefield Rd, Mountain View, CA 94043",1,Clinical-Stage Biotech,"Engineered IgM antibodies.
Novel antibody engineering platform",
ATUM,https://www.atum.bio,Newark,"37950 Central Court, Newark, CA 94560",1,Tools/Services/CDMO,"Gene & protein design/synthesis; enzyme engineering.
Core protein engineering & expression & purification workflows.",
Ultragenyx Pharmaceutical,https://www.ultragenyx.com,Novato,"60 Leveroni Court, Novato, CA 94949",1,Commercial-Stage Biotech,"Rare and ultra-rare genetic diseases.
Gene therapy and enzyme replacement therapy",
Phyllom BioProducts,https://www.phyllom.com,Oakland,"484 Lake Park Ave, Suite 23, Oakland, CA 94610",2,Commercial-Stage Biotech,Microbial Biopesticides & Protein Engineering,
UCSF Benioff Children's Hospital Oakland,https://www.ucsfbenioffchildrens.org/locations/oakland,Oakland,"5700 Martin Luther King Jr Way, Oakland, CA 94609",3,Academic/Gov't,"Translational Pediatric Research & Core Facilities.
Translational biology; proteomics/genomics cores",
10x Genomics,https://www.10xgenomics.com,Pleasanton,"6230 Stoneridge Mall Road, Pleasanton, CA 94588",3,Commercial-Stage Biotech,"Single-cell & spatial genomics tools.
Advanced instruments & computational biology platform; strong data & protein analysis tie-ins.",
Unchained Labs,https://www.unchainedlabs.com,Pleasanton,"4747 Willow Road, Pleasanton, CA 94588",3,Tools/Services/CDMO,"Biologics analytics instruments.
Protein stability & characterization tools; applications science roles.",
BioMarin Pharmaceutical,https://www.biomarin.com,San Rafael,"770 Lindaro Street, San Rafael, CA 94901",1,Commercial-Stage Biotech,"Rare genetic diseases therapeutics.
Enzyme replacement therapies and gene therapies",
Calico Life Sciences,https://www.calicolabs.com,South San Francisco,"1170 Veterans Blvd, South San Francisco, CA 94080",2,Pre-clinical/Startup,"Aging and age-related diseases.
Fundamental biology of aging research",
Nektar Therapeutics,https://www.nektar.com,San Francisco,"455 Mission Bay Boulevard South, San Francisco, CA 94158",2,Clinical-Stage Biotech,"Polymer conjugate technology to modify biologics (PEGylation). Protein engineering adjacent.",Check Website
Tempus,https://www.tempus.com,San Francisco,"635 Brannan St, San Francisco, CA 94107",2,Commercial-Stage Biotech,"AI-driven precision medicine and data analysis. Computational biology focus with applications in biologics.",Check Website
Gladstone Institutes,https://gladstone.org,San Francisco,"1650 Owens Street, San Francisco, CA 94158",1,Academic/Gov't,"Non-profit research institute; strong in data science, immunology, and neurology. Direct structural/comp bio fit.",Check Website
FibroGen, Inc.,https://www.fibrogen.com,San Francisco,"350 Bay St, Ste 100 # 6009, San Francisco, CA 94133",2,Commercial-Stage Biotech,"First-in-class medicines for oncology and anemia. HIF-PHI inhibitors and antibody-drug conjugates (ADCs).",Check Website
Vir Biotechnology,https://www.vir.bio,San Francisco,"1800 Owens Street Suite 900, San Francisco, CA 94158",2,Clinical-Stage Biotech,"Antibody-based therapies for infectious diseases. Strong protein engineering and immunology focus.",Check Website
Nurix Therapeutics,https://www.nurixtx.com,San Francisco,"1700 Owens St # 205, San Francisco, CA 94158",1,Clinical-Stage Biotech,"Targeted protein degradation (degraders, DACs). Deep mechanistic and structural understanding required.",Check Website
Rigel Pharmaceuticals,https://www.rigel.com,San Francisco,"1180 Veterans Blvd, San Francisco, CA 94080",3,Commercial-Stage Biotech,"Small molecule drugs for hematologic disorders and cancer (SYK, IRAK1/4 inhibitors).",Check Website
89bio,https://89bio.com,San Francisco,"655 Montgomery Street, Suite 1500, San Francisco, CA 94111",2,Clinical-Stage Biotech,"Engineered FGF21 analog (pegozafermin) for liver and cardiometabolic diseases. Biologic drug development.",Check Website
Accelero Biostructures,https://accelerobio.com,San Francisco,"156 2ND ST, San Francisco, CA, 94105",1,Tools/Services/CDMO,"High-throughput X-ray crystallography and cryo-EM services for structure-based drug discovery. Direct skill alignment.",Check Website
Altay Therapeutics,https://www.altaytherapeutics.com,San Francisco,"113 Piccadilly Pl # A, San Bruno, CA 94066",2,Pre-clinical/Startup,"Small molecule therapies targeting transcription factors for inflammation and cancer. Structure-based design focus.",Check Website
Blade Therapeutics,https://www.blademed.com,San Francisco,"50 Francisco Street, Suite 450, San Francisco, CA 94133",3,Clinical-Stage Biotech,"Small molecule anti-fibrotic therapies (autotaxin and calpain inhibitors).",Check Website
23andMe,https://www.23andme.com,South San Francisco,"349 Oyster Point Blvd, South San Francisco, CA 94080",3,Commercial-Stage Biotech,"Human genetics and therapeutics. Primarily genomics and computational biology; potential for target discovery roles.",Check Website
3T Biosciences,https://3tbiosciences.com,South San Francisco,"230 East Grand Ave, Suite 150, South San Francisco, CA 94080",1,Pre-clinical/Startup,"TCR target discovery platform (3T-TRACE™) using computation and experimentation. Strong protein-protein interaction focus.",Check Website
AbbVie,https://www.abbvie.com,South San Francisco,"1000 Gateway Boulevard, South San Francisco, CA 94080",2,Large Pharma,"Large pharma with significant biologics pipeline (oncology, immunology). Protein sciences and engineering roles.",Check Website
Alector,https://alector.com,South San Francisco,"131 Oyster Point Blvd, Suite 600, South San Francisco, CA 94080",2,Clinical-Stage Biotech,"Antibody and protein-based therapeutics for neurodegeneration and immuno-neurology.",Check Website
Allogene Therapeutics,https://www.allogene.com,South San Francisco,"210 East Grand Avenue, South San Francisco, CA 94080",2,Clinical-Stage Biotech,"Allogeneic CAR T (AlloCAR T™) therapies. Protein engineering of CAR constructs is critical.",Check Website
Alumis,https://www.alumis.com,South San Francisco,"280 E Grand Ave, South San Francisco, CA 94080",3,Clinical-Stage Biotech,"Oral small molecule therapies for immune-mediated diseases (TYK2 inhibitors).",Check Website
Ambys Medicines,https://www.ambys.com,South San Francisco,"131 Oyster Point Blvd, Suite 200, South San Francisco, CA 94080",2,Pre-clinical/Startup,"Regenerative medicine and cell therapies for liver disease. Acquired by Cytotheryx.",Check Website
Amphivena Therapeutics,https://amphivena.com,South San Francisco,"2 Tower Place, South San Francisco, CA 94080",2,Clinical-Stage Biotech,"T-cell engaging bispecific antibodies for immuno-oncology. Core antibody engineering.",Check Website
Amunix Pharmaceuticals,https://www.amunix.com,South San Francisco,"2 Tower Plaza, Suite 1100, South San Francisco, CA 94080",1,Acquired,"Masked T-cell engagers and cytokines (XPAT®, XPAC™ platforms). Acquired by Sanofi. Strong protein engineering.",Check Website
Annexon Biosciences,https://annexonbio.com,South San Francisco,"180 Kimball Way, 2nd Floor, Suite 200, South San Francisco, CA 94080",2,Clinical-Stage Biotech,"Antibody-based therapies targeting classical complement pathway (C1q) for autoimmune and neurodegenerative diseases.",Check Website
Arsenal Biosciences,https://arsenalbio.com,South San Francisco,"329 Oyster Point Blvd, South San Francisco, CA 94080",1,Clinical-Stage Biotech,"Programmable cell therapies for solid tumors. Advanced protein and genetic engineering of T-cells.",Check Website
Asher Biotherapeutics,https://asherbio.com,South San Francisco,"650 Gateway Blvd, Suite 100, South San Francisco, CA 94080",1,Clinical-Stage Biotech,"Cis-targeted immunotherapies (engineered cytokines). Highly selective protein engineering platform.",Check Website
AvidBiotics Corp,https://www.avidbiotics.com,South San Francisco,"100 Kimball Way, South San Francisco, CA 94080",1,Acquired,"Non-antibody protein therapeutics. Split into Xyphos (immuno-oncology) and Pylum (antibacterials).",Check Website
Boost Biomes,https://www.boostbiomes.com,South San Francisco,"329 Oyster Point Boulevard, 3rd Floor, South San Francisco, CA 94080",3,Pre-clinical/Startup,"Microbiome discovery platform for agriculture and food. Less focus on protein biochemistry.",Check Website
Cartography Biosciences,https://cartography.bio,South San Francisco,"230 E Grand Avenue, Suite 250, South San Francisco, CA 94080",2,Pre-clinical/Startup,"Antigen atlas for precision immuno-oncology. Computational and proteomics focus.",Check Website
Cellares,https://www.cellares.com,South San Francisco,"345 Allerton Ave, South San Francisco, CA 94080",3,Tools/Services/CDMO,"Automated cell therapy manufacturing platform (The Cell Shuttle). Process engineering focus.",Check Website
Centivax,https://www.centivax.com,South San Francisco,"1 Tower Place, Suite 800, South San Francisco, CA 94080",2,Clinical-Stage Biotech,"Broad-spectrum vaccines and antibody therapeutics for infectious diseases.",Check Website
Coda Biotherapeutics,https://www.codebiotx.com,South San Francisco,"329 Oyster Point Blvd, 3rd Floor, South San Francisco, CA 94080",2,Acquired,"Chemogenetic gene therapy platform. Note: Company ceased operations in 2023.",Check Website
Cytokinetics,https://cytokinetics.com,South San Francisco,"350 Oyster Point Blvd, South San Francisco, CA 94080",3,Commercial-Stage Biotech,"Small molecule muscle biology modulators for cardiovascular and neuromuscular diseases.",Check Website
Sutro Biopharma,https://www.sutrobio.com,South San Francisco,"111 Oyster Point Blvd, South San Francisco, CA 94080",1,Clinical-Stage Biotech,"Cell-free protein synthesis platform (XpressCF™) for ADCs and cytokine-based therapeutics. Direct protein synthesis/engineering fit.",Check Website
ARMO BioSciences,https://www.lilly.com,Redwood City,"575 Chesapeake Drive, Redwood City, CA 94063",2,Acquired,"Immuno-oncology company developing cytokine-based therapies. Acquired by Eli Lilly.",Check Website
Exact Sciences,https://www.exactsciences.com,Redwood City,"101 Galveston Drive, Redwood City, CA 94063",3,Commercial-Stage Biotech,"Cancer diagnostics (Cologuard, Oncotype DX). Genomics and diagnostics focus.",Check Website
BioCentury,https://www.biocentury.com,Redwood City,"1235 Radio Rd Ste 100, Redwood City, CA 94065",3,Acquired,"Biotechnology industry analysis and data platform. Not a research-focused role.",Check Website
Procept BioRobotics,https://www.procept-biorobotics.com,Redwood City,"900 Island Dr, Redwood City, CA 94065",3,Commercial-Stage Biotech,"Surgical robotics for urology (Aquablation therapy). Medical device focus.",Check Website
Seer,https://seer.bio,Redwood City,"3800 Bridge Pkwy, Redwood City, CA 94065",2,Commercial-Stage Biotech,"Proteomics platform (Proteograph™ Product Suite) for large-scale protein analysis. Strong proteomics and data analysis fit.",Check Website
Codexis,https://www.codexis.com,Redwood City,"200 Penobscot Drive, Redwood City, CA 94063",1,Commercial-Stage Biotech,"Enzyme engineering (CodeEvolver® platform) for pharma biocatalysis and siRNA manufacturing. Direct enzyme engineering fit.",Check Website
Revolution Medicines,https://www.revmed.com,Redwood City,"700 Saginaw Drive, Redwood City, CA 94063",2,Clinical-Stage Biotech,"Small molecule inhibitors of RAS(ON) oncogenes. Strong focus on protein-small molecule interactions and structural biology.",Check Website
Graybug Vision,https://www.graybug.vision,Redwood City,"203 Shoreline Shores Parkway, Suite 620, Redwood City, CA 94065",3,Acquired,"Ophthalmic drug delivery technologies. Acquired by CalciMedica.",Check Website
Ashvattha Therapeutics,https://avttx.com,Redwood City,"1235 Radio Road, Suite 200, Redwood City, CA 94065",2,Clinical-Stage Biotech,"Targeted nanomedicine therapeutics (hydroxyl dendrimers) for inflammatory diseases. Drug delivery focus.",Check Website
AmMax Bio,https://www.ammaxbio.com,Redwood City,"333 Twin Dolphin Drive, Suite 370, Redwood City, CA 94065",2,Clinical-Stage Biotech,"Antibody-based oncology pipeline targeting CSF1R (mAbs and ADCs).",Check Website
Pearl Therapeutics,https://www.pearlpathways.com,Redwood City,"200 Saginaw Drive, Redwood City, CA 94063",3,Acquired,"Inhaled therapies for respiratory diseases. Acquired by AstraZeneca. Formulation focus.",Check Website
Incline Therapeutics,https://www.inclinethera.com,Redwood City,"900 Saginaw Dr, Ste 200, Redwood City, CA 94063",3,Acquired,"Transdermal drug delivery system for post-operative pain. Acquired by The Medicines Company.",Check Website
Corcept Therapeutics,https://corcept.com,Redwood City,"101 Redwood Shores Parkway, Redwood City, CA 94065",3,Commercial-Stage Biotech,"Small molecule cortisol modulators for metabolic, oncologic, and neurologic disorders.",Check Website
Pliant Therapeutics,https://pliantrx.com,Redwood City,"260 Littlefield Avenue, South San Francisco, 94080",2,Clinical-Stage Biotech,"Small molecule therapies targeting integrins for fibrotic diseases. Structure-based drug design relevance.",Check Website
Soleno Therapeutics,https://soleno.life,Redwood City,"100 Marine Parkway, Suite 400, Redwood City, CA 94065",3,Clinical-Stage Biotech,"Small molecule therapeutics for rare diseases (Prader-Willi syndrome).",Check Website
Greenstone Biosciences,https://greenstonebio.com,Palo Alto,"3160 Porter Drive, Suite 140, Palo Alto, CA 94304",2,Pre-clinical/Startup,"Drug discovery using AI/ML and human iPSC-derived organoids. Computational and cell biology focus.",Check Website
Ancora Biotech,https://ancorabiotech.com,Palo Alto,"953 Roble Ridge Road, Palo Alto, CA 94306",2,Pre-clinical/Startup,"Develops multi-specific antibodies for oncology and inflammatory diseases.",Check Website
HepaTx Corporation,https://hepatx.com,Palo Alto,"2627 Hanover Street, Palo Alto, CA 94304",2,Pre-clinical/Startup,"Off-the-shelf cell therapies for liver disease based on regenerative medicine.",Check Website
Medable,https://www.medable.com,Palo Alto,"525 University Ave, Suite A70, Palo Alto, CA 94301",3,Commercial-Stage Biotech,"Decentralized clinical trial software platform. Digital health focus.",Check Website
MEDIC Life Sciences,https://www.medic-life-sciences.com,Palo Alto,"950 Page Mill Road, Palo Alto, CA 94304",1,Pre-clinical/Startup,"CRISPR functional genomics in 3D tumor models for novel cancer drug target discovery. Strong comp bio and functional genomics fit.",Check Website
Pardes Biosciences,https://www.pardesbio.com,Carlsbad,"2173 Salk Ave, Suite 250, PMB #052, Carlsbad, CA 92008",2,Clinical-Stage Biotech,"Oral antiviral therapeutics using structure-based drug design. (Note: HQ is in SoCal, but has Bay Area presence/history).",Check Website
Atreca,http://atreca.com,San Carlos,"835 Industrial Road, Suite 400, San Carlos, CA 94070",2,Clinical-Stage Biotech,"Antibody discovery based on active human immune responses. Note: Company has undergone significant restructuring.",Check Website
AcureX Biosciences,https://www.acurex.com,San Carlos,"930 Brittan Avenue, San Carlos, CA 94070",2,Pre-clinical/Startup,"Therapeutics targeting mitochondrial dysfunction in neurodegenerative diseases.",Check Website
